Epoch,Train Loss,Train Acc,Val Loss,Val Acc,Learning Rate
1,2.0249,53.3275,1.1204,73.0817,0.000100
2,0.8241,81.3835,0.7782,79.5173,0.000100
3,0.5300,87.6007,0.6662,82.2401,0.000100
4,0.3761,90.5429,0.6715,82.3639,0.000100
5,0.3049,91.9089,0.6534,83.2302,0.000100
6,0.2564,93.0648,0.6412,82.6114,0.000100
7,0.2287,93.5201,0.7111,81.6832,0.000100
8,0.2105,93.6077,0.6253,83.2921,0.000100
9,0.1938,94.0630,0.6561,82.9827,0.000100
10,0.1784,94.1856,0.6634,83.2921,0.000100
11,0.1692,94.2207,0.7186,81.1262,0.000100
12,0.1684,94.1156,0.6701,83.2921,0.000100
13,0.1533,94.6760,0.6705,82.8589,0.000100
14,0.1580,94.5009,0.7161,81.9926,0.000100
15,0.1510,94.3433,0.6905,82.3639,0.000100
16,0.1503,94.6410,0.7064,82.9827,0.000100
17,0.1458,94.3958,0.7236,82.4257,0.000100
18,0.1400,94.4133,0.7017,82.5495,0.000100
19,0.1362,94.8161,0.7433,81.0644,0.000050
20,0.1147,95.1138,0.7363,82.1782,0.000050
21,0.1018,95.4291,0.7471,82.6733,0.000050
22,0.0992,95.3240,0.7140,83.9728,0.000050
23,0.0965,95.3765,0.7392,82.7351,0.000050
24,0.0959,95.5342,0.7408,83.2302,0.000050
25,0.0940,95.1489,0.7848,81.6832,0.000050
26,0.0933,95.5692,0.7769,82.8589,0.000050
27,0.0972,95.0963,0.7827,82.8589,0.000050
28,0.0946,95.4991,0.7796,83.0446,0.000050
29,0.0942,95.2189,0.7831,82.3639,0.000050
30,0.0912,95.3940,0.7964,82.3020,0.000050
31,0.0904,95.3940,0.8021,81.9926,0.000050
32,0.0880,95.6918,0.8100,82.3020,0.000050
33,0.0894,95.6042,0.8437,81.5594,0.000025
34,0.0810,95.6042,0.8038,82.1782,0.000025
35,0.0767,95.7443,0.8262,82.3639,0.000025
36,0.0730,96.0245,0.8404,82.3020,0.000025
37,0.0745,95.8144,0.8079,82.6733,0.000025
38,0.0767,95.6918,0.8477,82.4257,0.000025
39,0.0731,95.9194,0.8239,82.8589,0.000025
40,0.0771,95.7618,0.8457,82.2401,0.000025
41,0.0745,95.8319,0.8600,82.3020,0.000025
42,0.0733,95.6567,0.8393,82.3639,0.000025
